slug	mode	bg	surface-1	surface-2	surface-3	border	field	text	text-soft	text-faint	accent	accent-deep	accent-2	accent-soft	on-accent	good	warn	bad	info	data-1	data-2	data-3	data-4
maw-dark-utility-light	light	#f4f6f8	#ffffff	#eaeef2	#dfe4ea	#cbd2db	#ffffff	#1c2126	#4a525c	#79828d	#46b8cf	#2e8ba0	#6fccd6	#d4eef4	#10262c	#35c48a	#d8ab4f	#d64f3f	#56a8dd	#4f9fe0	#e07bad	#46c48a	#e0a84f
mclaren	dark	#292420	#231f1b	#2f2a25	#35302a	#5f5850	#3a342e	#f2f1ec	#5fc9d8	#4c8b98	#ffea00	#c7b400	#00e5ff	#332f00	#1a1800	#35c48a	#d8ab4f	#d64f3f	#63bce0	#4f9fe0	#e07bad	#46c48a	#e0a84f
mclaren-light	light	#faf6f1	#fffdfa	#f2ece3	#e8e0d4	#d8cdbd	#fffdfa	#2a2420	#2c8593	#8a7f70	#b8008f	#8a006b	#0066b3	#ffd6f2	#ffffff	#1a6b47	#8a5410	#b3271c	#2a6ba8	#4f9fe0	#e07bad	#46c48a	#e0a84f
mercedes	dark	#1e2827	#192221	#273230	#2d3937	#506361	#2f3b39	#eff6f5	#a9b9b7	#74847f	#4fc8c0	#2e9a93	#46e08a	#1f403c	#10201f	#38c48c	#d8ab4f	#d64f3f	#6fb4cc	#4f9fe0	#e07bad	#46c48a	#e0a84f
mercedes-light	light	#f2f8f7	#fdffff	#e6f0ee	#dae6e4	#c7d5d2	#fdffff	#1e2827	#3f5652	#74847f	#4fc8c0	#2e9a93	#46e08a	#d2f0ed	#10201f	#38c48c	#d8ab4f	#d64f3f	#6fb4cc	#4f9fe0	#e07bad	#46c48a	#e0a84f
paddock	dark	#0b0d13	#12151b	#191c23	#22252d	#2b2e35	#1c1f27	#edeef3	#a8abb2	#71747c	#f14442	#b71920	#907bf8	#292745	#fdf2f1	#49ca81	#e7b643	#e6424c	#4baeed	#4f9fe0	#e07bad	#46c48a	#e0a84f
paddock-light	light	#f5f7fa	#fdfdff	#ebedf1	#dddfe5	#cccfd7	#fdfdff	#181a21	#555860	#7d8088	#f14442	#b71920	#907bf8	#e6e5ff	#fffbfa	#49ca81	#e7b643	#e6424c	#4baeed	#4f9fe0	#e07bad	#46c48a	#e0a84f
paper-mono	light	#fafafa	#fefefe	#f1f1f1	#e6e6e6	#cfcfcf	#fefefe	#292929	#636363	#8f8f8f	#333333	#1f1f1f	#676767	#e9e9e9	#fdfdfd	#2e9268	#a67c2e	#bf4436	#3a7fb5	#4f9fe0	#e07bad	#46c48a	#e0a84f
paper-mono-dark	dark	#1a1a1a	#202020	#2a2a2a	#333333	#4a4a4a	#2a2a2a	#f2f2f2	#b0b0b0	#808080	#333333	#1f1f1f	#676767	#3a3a3a	#fdfdfd	#2e9268	#a67c2e	#bf4436	#3a7fb5	#4f9fe0	#e07bad	#46c48a	#e0a84f
papyrus	light	#f0e6d2	#f7efe0	#e4d5bd	#d8c5a8	#c0a982	#f9f2e4	#4a3826	#75604a	#9a8468	#97663a	#6f4a28	#a56048	#e4d3b3	#faf4e6	#2f8f5f	#a67d33	#b0503a	#3d7098	#4f9fe0	#e07bad	#46c48a	#e0a84f
papyrus-dark	dark	#241c14	#2c2218	#362a1e	#40331f	#574632	#2c2218	#f0e6d2	#baa688	#8a7860	#97663a	#6f4a28	#a56048	#40331d	#faf4e6	#2f8f5f	#a67d33	#b0503a	#3d7098	#4f9fe0	#e07bad	#46c48a	#e0a84f
racing-bulls	light	#f6f7fa	#fefeff	#eef0f4	#e2e5ec	#cdd2dc	#fefeff	#333a4a	#5f6678	#868da0	#4a52b0	#363c8c	#d1483f	#dfe0f5	#fcfcfe	#2e9268	#a67c2e	#bf4436	#3f6fb5	#4f9fe0	#e07bad	#46c48a	#e0a84f
racing-bulls-dark	dark	#1a1c2a	#212436	#2a2d42	#32354c	#474d6a	#2a2d42	#eef0f8	#aab0c8	#868da0	#4a52b0	#363c8c	#d1483f	#2a2d5c	#fcfcfe	#2e9268	#a67c2e	#bf4436	#3f6fb5	#4f9fe0	#e07bad	#46c48a	#e0a84f
red-bull	dark	#1e2138	#262a48	#2f3455	#363c60	#565d85	#333858	#eef0f8	#a9adca	#797f9e	#ecd84e	#bb9c00	#d5493d	#362d07	#1c1600	#35c48a	#e0bd4a	#d84334	#6fa5e0	#4f9fe0	#e07bad	#46c48a	#e0a84f
red-bull-light	light	#f5f6fa	#fefeff	#e9ebf3	#dde0eb	#cacfdd	#fefeff	#1e2138	#4d5270	#797f9e	#ecd84e	#bb9c00	#d5493d	#f3edbf	#fceceb	#35c48a	#e0bd4a	#d84334	#6fa5e0	#4f9fe0	#e07bad	#46c48a	#e0a84f
williams	light	#f6f7fa	#fefeff	#eef0f5	#e2e6ed	#cdd3df	#fefeff	#333c4c	#5f6779	#868ea1	#4a7ac8	#3560a0	#52a0d8	#dce4f5	#fcfdfe	#2e9268	#a67c2e	#bf4436	#4278c2	#4f9fe0	#e07bad	#46c48a	#e0a84f
williams-dark	dark	#1a1e2a	#212736	#2a3142	#32394c	#47506a	#2a3142	#eef2f8	#aab4c8	#868ea1	#4a7ac8	#3560a0	#52a0d8	#24344c	#fcfdfe	#2e9268	#a67c2e	#bf4436	#4278c2	#4f9fe0	#e07bad	#46c48a	#e0a84f
